	Biomarker	Condition Types Full	Condition Categories	Condition Name	Clinical Status	Biomarker Type	Chinese Name
0	1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin	1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin Exposure	Exposure	1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin Exposure	Clinical	Chemical Biomarkers	
1	1,2,3,4,6,7,8-Heptachlorodibenzofuran	1,2,3,4,6,7,8-Heptachlorodibenzofuran Exposure	Exposure	1,2,3,4,6,7,8-Heptachlorodibenzofuran Exposure	Clinical	Chemical Biomarkers	
2	1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin	1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin Exposure	Exposure	1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin Exposure	Clinical	Chemical Biomarkers	
3	1,2,3,4,7,8-Hexachlorodibenzofuran	1,2,3,4,7,8-Hexachlorodibenzofuran Exposure	Exposure	1,2,3,4,7,8-Hexachlorodibenzofuran Exposure	Clinical	Chemical Biomarkers	
4	1,2,3,6,7,8-Hexachlorodibenzofuran	1,2,3,6,7,8-Hexachlorodibenzofuran Exposure	Exposure	1,2,3,6,7,8-Hexachlorodibenzofuran Exposure	Clinical	Chemical Biomarkers	
5	1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin	1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin Exposure	Exposure	1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin Exposure	Clinical	Chemical Biomarkers	
6	1,2,3,7,8-Pentachlorodibenzo-p-dioxin	1,2,3,7,8-Pentachlorodibenzo-p-dioxin Exposure	Exposure	1,2,3,7,8-Pentachlorodibenzo-p-dioxin Exposure	Clinical	Chemical Biomarkers	
7	1,3-Diaminopropane	Acute Myeloid Leukemia	Cancer,Hematological or Lymphatic System Disorder	Leukemia	Investigational	Chemical Biomarkers	1,3-二氨基丙烷
8	1,3-Diaminopropane	Chronic Lymphocytic Leukemia	Cancer,Hematological or Lymphatic System Disorder	Leukemia	Investigational	Chemical Biomarkers	1,3-二氨基丙烷
9	1,3-Diaminopropane	Acute Lymphoblastic Leukemia	Cancer,Hematological or Lymphatic System Disorder	Leukemia	Investigational	Chemical Biomarkers	1,3-二氨基丙烷
10	1,3-Diaminopropane	Somatic T Cell Acute Lymphoblastic Leukemia	Cancer,Hematological or Lymphatic System Disorder	Leukemia	Investigational	Chemical Biomarkers	1,3-二氨基丙烷
